,customerID,Scaler__SeniorCitizen,Scaler__tenure,Scaler__MonthlyCharges,Scaler__TotalCharges,Encoder__gender_Female,Encoder__gender_Male,Encoder__Partner_No,Encoder__Partner_Yes,Encoder__Dependents_No,Encoder__Dependents_Yes,Encoder__PhoneService_No,Encoder__PhoneService_Yes,Encoder__MultipleLines_No,Encoder__MultipleLines_Yes,Encoder__InternetService_DSL,Encoder__InternetService_Fiber optic,Encoder__InternetService_No,Encoder__OnlineSecurity_No,Encoder__OnlineSecurity_Yes,Encoder__OnlineBackup_No,Encoder__OnlineBackup_Yes,Encoder__DeviceProtection_No,Encoder__DeviceProtection_Yes,Encoder__TechSupport_No,Encoder__TechSupport_Yes,Encoder__StreamingTV_No,Encoder__StreamingTV_Yes,Encoder__StreamingMovies_No,Encoder__StreamingMovies_Yes,Encoder__Contract_Month-to-month,Encoder__Contract_One year,Encoder__Contract_Two year,Encoder__PaperlessBilling_No,Encoder__PaperlessBilling_Yes,Encoder__PaymentMethod_Bank transfer (automatic),Encoder__PaymentMethod_Credit card (automatic),Encoder__PaymentMethod_Electronic check,Encoder__PaymentMethod_Mailed check
1563,3223-DWFIO,2.273158691738958,-1.1552834925186746,0.15249671409631763,-0.8903443230554889,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
702,1766-GKNMI,-0.43991649313097614,-0.13727439951791576,0.6693155811479823,0.10432462610581666,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1510,7898-PDWQE,-0.43991649313097614,1.5729808767233588,0.5197538511330312,1.5209409186295995,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
768,8728-SKJLR,-0.43991649313097614,0.35136996512244845,0.3153528201125979,0.3570783201798058,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3346,2545-EBUPK,2.273158691738958,-1.2367242199587352,0.641065032145158,-0.923697751702711,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2099,2190-BCXEC,-0.43991649313097614,0.3106496014024181,0.46823814412788106,0.3737329753574861,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
6195,8111-RKSPX,-0.43991649313097614,-1.1552834925186746,0.24721914310578694,-0.8709763929283322,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
3753,1816-FLZDK,-0.43991649313097614,-1.2774445836787656,-1.1835880740372453,-0.9929193516332554,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4125,2716-GFZOR,-0.43991649313097614,0.43281069256250915,0.7091987091519689,0.5611474791847345,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
6384,1952-DVVSW,-0.43991649313097614,-0.9109613101984924,-1.4843733310673135,-0.9244257035184242,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4316,8413-YNHNV,-0.43991649313097614,1.4915401492832983,0.8604222361670865,1.7834226960590285,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1116,8461-EFQYM,-0.43991649313097614,0.22920887396235737,-1.3464441800535252,-0.6023621729301679,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
6045,4487-ZYJZK,-0.43991649313097614,0.22920887396235737,-1.5009913010689746,-0.6691131485164737,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
140,3146-MSEGF,2.273158691738958,1.6137012404433893,0.7740087921584478,1.829107187281513,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1589,7351-KYHQH,2.273158691738958,-1.0331224013585834,0.006258578081699082,-0.7879898859370293,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
6534,5195-KPUNQ,2.273158691738958,0.8400143297628127,1.0631614701873533,1.2912610911991254,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
3546,8200-LGKSR,-0.43991649313097614,1.5729808767233588,0.612814483142334,1.6969508440106749,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
6586,6813-GZQCG,-0.43991649313097614,0.5142514200025698,-1.3331498040521963,-0.48902228113821866,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
3536,2254-DLXRI,-0.43991649313097614,-1.2774445836787656,0.47820892612887816,-0.9708602057025529,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
3787,2386-OWURY,-0.43991649313097614,1.0436161483629645,1.0149693571825356,1.5608900319101016,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
6759,1591-MQJTP,2.273158691738958,0.758573602322752,0.9601300561770538,1.1291704869003232,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2397,3722-WPXTK,-0.43991649313097614,-1.2774445836787656,0.7839795741594444,-0.9668013228513038,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
4609,2519-TWKFS,-0.43991649313097614,-0.30015585439803716,-0.32111543095102724,-0.3589615567307968,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
5859,2194-IIQOF,-0.43991649313097614,1.5729808767233588,0.8155537171626008,1.8127834192927932,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2898,6505-OZNPG,-0.43991649313097614,-1.0738427650786138,-0.04525712892345088,-0.8518952316982745,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2594,3096-YXENJ,-0.43991649313097614,1.3286586944031769,1.4254332162235683,2.119052601394667,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
3326,7657-DYEPJ,2.273158691738958,0.22920887396235737,0.179085466098976,0.09600832808994188,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1358,9272-LSVYH,-0.43991649313097614,-0.9109613101984924,0.179085466098976,-0.6812897970702215,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4618,6350-XFYGW,2.273158691738958,-1.1552834925186746,0.9966895901807084,-0.8194241688882804,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2063,7833-PKIHD,-0.43991649313097614,0.758573602322752,0.3868100911197414,0.7440839763880502,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
3471,1293-HHSHJ,-0.43991649313097614,0.10704778280226633,-1.451137391063991,-0.6788632910178443,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
5632,5567-GZKQY,-0.43991649313097614,1.0436161483629645,-1.477726143066649,-0.5065813612990578,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
3845,0004-TLHLJ,-0.43991649313097614,-1.1552834925186746,0.30372024111143525,-0.8818736110180992,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1365,7721-JXEAW,-0.43991649313097614,1.0843365120829946,-0.788080387997708,0.07630951077382452,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
4695,9509-MPYOD,-0.43991649313097614,0.10704778280226633,-1.462769970065154,-0.6967532583676439,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3683,7688-AWMDX,-0.43991649313097614,1.5729808767233588,-0.3410569949530208,0.6610974693967474,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1598,7552-KEYGT,-0.43991649313097614,-0.21871512695797646,-1.502653098069141,-0.7761220654263115,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
3883,8104-OSKWT,-0.43991649313097614,-0.8295205827584317,0.4998122871310375,-0.5640674955944684,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
4482,6711-FLDFB,-0.43991649313097614,-1.0331224013585834,0.33695618111475767,-0.767033697302862,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
511,8535-SFUTN,-0.43991649313097614,1.1657772395230555,1.3855500882195813,1.7737387309954498,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
